Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,1954.66,23455.92,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (7000 GB), Quantity (1), Instance type (db.m5.large), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (1000 GB)"
My Estimate,US East (N. Virginia),,Amazon EC2,0,2303.838,27646.06,USD,"Operating system (Linux), Storage amount (3000 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 4), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB), Advance EC2 instance (t3.xlarge), Pricing strategy (On-Demand)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,1954.66,23455.92,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (7000 GB), Quantity (1), Instance type (db.m5.large), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (1000 GB)"
My Estimate,US East (N. Virginia),,Amazon EC2,0,2810.75,33729.00,USD,"Operating system (Linux), Storage amount (3000 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 4), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB), Advance EC2 instance (c5.2xlarge), Pricing strategy (On-Demand)"
My Estimate,US East (N. Virginia),,S3 Standard,0,230,2760.00,USD,S3 Standard storage (10000 GB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,
My Estimate,US East (N. Virginia),,Application Load Balancer,0,74.83,897.96,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),,Network Load Balancer,0,71.18,854.16,USD,"Number of Network Load Balancers (1), Average number of new TCP connections (10000 per second)"
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,347.85,4174.20,USD,Number of NAT Gateways (1)



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
