Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Reduced_Cost_Estimate,US East (Ohio),rds,Amazon RDS for MySQL,0,1956.94,23483.28,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (7000 GB), Quantity (1), Instance type (db.m5.large), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (1 TB)"
Reduced_Cost_Estimate,US East (Ohio),,Amazon EC2,0,155.962,1871.54,USD,"Operating system (Linux), Storage amount (200 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 1), Advance EC2 instance (t3.xlarge), Pricing strategy (On-Demand), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB)"
Reduced_Cost_Estimate,US East (Ohio),,Amazon EC2,0,155.962,1871.54,USD,"Operating system (Linux), Storage amount (200 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 1), Advance EC2 instance (t3.xlarge), Pricing strategy (On-Demand), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB)"
Reduced_Cost_Estimate,US East (Ohio),,Amazon EC2,0,155.962,1871.54,USD,"Operating system (Linux), Storage amount (200 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 1), Advance EC2 instance (t3.xlarge), Pricing strategy (On-Demand), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB)"
Reduced_Cost_Estimate,US East (Ohio),,Amazon EC2,0,155.962,1871.54,USD,"Operating system (Linux), Storage amount (200 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 1), Advance EC2 instance (t3.xlarge), Pricing strategy (On-Demand), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB)"
Reduced_Cost_Estimate,US East (Ohio),rds,Amazon RDS for MySQL,0,1956.94,23483.28,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (7000 GB), Quantity (1), Instance type (db.m5.large), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (1 TB)"
Reduced_Cost_Estimate,US East (Ohio),,Amazon EC2,0,282.69,3392.28,USD,"Operating system (Linux), Storage amount (200 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 1), Advance EC2 instance (c5.2xlarge), Pricing strategy (On-Demand), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB)"
Reduced_Cost_Estimate,US East (Ohio),,Amazon EC2,0,282.69,3392.28,USD,"Operating system (Linux), Storage amount (200 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 1), Advance EC2 instance (c5.2xlarge), Pricing strategy (On-Demand), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB)"
Reduced_Cost_Estimate,US East (Ohio),,Amazon EC2,0,282.69,3392.28,USD,"Operating system (Linux), Storage amount (200 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 1), Advance EC2 instance (c5.2xlarge), Pricing strategy (On-Demand), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB)"
Reduced_Cost_Estimate,US East (Ohio),,Amazon EC2,0,282.69,3392.28,USD,"Operating system (Linux), Storage amount (200 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 1), Advance EC2 instance (c5.2xlarge), Pricing strategy (On-Demand), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB)"
Reduced_Cost_Estimate,US East (Ohio),,S3 Standard,0,230,2760.00,USD,S3 Standard storage (10000 GB per month)
Reduced_Cost_Estimate,US East (Ohio),,Data Transfer,0,0,0.00,USD,
Reduced_Cost_Estimate,US East (Ohio),,Application Load Balancer,0,149.65,1795.80,USD,Number of Application Load Balancers (2)
Reduced_Cost_Estimate,US East (Ohio),,Amazon Virtual Private Cloud (VPC),0,361.35,4336.20,USD,Number of NAT Gateways (1)



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."

Changes made: I reduced the amount of SSD space the EC2 instances should use from a couple of terabytes to about 200 Gigabytes which ideally shouldn't have a major negative impact on performance.
